
Graph          : HP_booksAll-statistics
Arestas        :   2724  , Vertices:   192   
[1.0, 'Blaise Zabini', 'Minerva McGonagall']
[1.0, 'Blaise Zabini', 'Severus Snape']
[1.0, 'Blaise Zabini', 'Theodore Nott']
[1.0, 'Bloody Baron', 'Albus Dumbledore']
[1.0, 'Bob Ogden', 'Cornelius Fudge']
[1.0, 'Bob Ogden', 'Ron Weasley']
[1.0, 'Bogrod', 'Madam Hooch']
[1.0, 'Buckbeak', 'Cornelius Fudge']
[1.0, 'Buckbeak', 'Crookshanks']
[1.0, 'Buckbeak', 'Grawp']
[1.0, 'Buckbeak', 'Neville Longbottom']
[1.0, 'Buckbeak', 'Percy Weasley']
[1.0, 'Buckbeak', 'Peter Pettigrew']
[1.0, 'Buckbeak', 'Remus Lupin R']
[1.0, 'Buckbeak', 'Scabbers']
[1.0, 'Buckbeak', 'Sybill Trelawney']
[1.0, 'Cadmus Peverell', 'Ignotus Peverell']
[1.0, 'Cadogan', 'Seamus Finnigan']
[1.0, 'Cedric Diggory', 'Draco Malfoy']
[1.0, 'Cedric Diggory', 'Ernie Macmillan']
[1.0, 'Cedric Diggory', 'Fat Lady']
[1.0, 'Cedric Diggory', 'Fred Weasley']
[1.0, 'Cedric Diggory', 'Madam Hooch']
[1.0, 'Cedric Diggory', 'Parvati Patil']
[1.0, 'Cedric Diggory', 'Pomona Sprout']
[1.0, 'Cedric Diggory', 'Terry Boot']
[1.0, 'Charity Burbage', 'Elphias Doge']
[1.0, 'Charlie Weasley', 'Draco Malfoy']
[1.0, 'Charlie Weasley', 'Olympe Maxime']
[1.0, 'Charlie Weasley', 'Remus Lupin R']
[1.0, 'Charlie Weasley', 'Scabbers']
[1.0, 'Cho Chang', 'Alastor Mad-Eye Moody']
[1.0, 'Cho Chang', 'Dean Thomas']
[1.0, 'Cho Chang', 'Draco Malfoy']
[1.0, 'Cho Chang', 'Fat Lady']
[1.0, 'Cho Chang', 'Madam Hooch']
[1.0, 'Cho Chang', 'Rita Skeeter']
[1.0, 'Cho Chang', 'Seamus Finnigan']
[1.0, 'Colin Creevey', 'Cedric Diggory']
[1.0, 'Colin Creevey', 'Dobby']
[1.0, 'Colin Creevey', 'Hannah Abbott']
[1.0, 'Colin Creevey', 'Ludo Bagman']
[1.0, 'Colin Creevey', 'Luna Lovegood']
[1.0, 'Colin Creevey', 'Neville Longbottom']
[1.0, 'Colin Creevey', 'Parvati Patil']
[1.0, 'Cormac McLaggen', 'Grawp']
[1.0, 'Cormac McLaggen', 'Madam Hooch']
[1.0, 'Cormac McLaggen', 'Rufus Scrimgeour']
[1.0, 'Cornelius Fudge', 'Narcissa Malfoy']
[1.0, 'Cornelius Fudge', 'Sybill Trelawney']
[1.0, 'Cornelius Fudge', 'Viktor Krum']
[1.0, 'Crookshanks', 'Angelina Johnson']
[1.0, 'Crookshanks', 'Arthur Weasley Mr']
[1.0, 'Crookshanks', 'Bill Weasley']
[1.0, 'Crookshanks', 'Nearly Headless Nick']
[1.0, 'Crookshanks', 'Vernon Dursley Mr']
[1.0, 'Crouch Mr Sr', 'Cedric Diggory']
[1.0, 'Crouch Mr Sr', 'Dobby']
[1.0, 'Crouch Mr Sr', 'Frank Bryce']
[1.0, 'Crouch Mr Sr', 'George Weasley']
[1.0, 'Crouch Mr Sr', 'Hedwig']
[1.0, 'Crouch Mr Sr', 'Lucius Malfoy Mr']
[1.0, 'Crouch Mr Sr', 'Neville Longbottom']
[1.0, 'Cuthbert Binns', 'Alastor Mad-Eye Moody']
[1.0, 'Cuthbert Binns', 'Albus Dumbledore']
[1.0, 'Cuthbert Binns', 'Bill Weasley']
[1.0, 'Cuthbert Binns', 'Dolores Jane Umbridge']
[1.0, 'Cuthbert Binns', 'Filius Flitwick']
[1.0, 'Cuthbert Binns', 'Madam Hooch']
[1.0, 'Cuthbert Binns', 'Percy Weasley']
[1.0, 'Dawlish', 'Fawkes']
[1.0, 'Dawlish', 'Ron Weasley']
[1.0, 'Dawlish', 'Ted Tonks']
[1.0, 'Dean Thomas', 'Angelina Johnson']
[1.0, 'Dean Thomas', 'Argus Filch']
[1.0, 'Dean Thomas', 'Bathilda Bagshot']
[1.0, 'Dean Thomas', 'Bellatrix Lestrange']
[1.0, 'Dean Thomas', 'Bill Weasley']
[1.0, 'Dean Thomas', 'Cormac McLaggen']
[1.0, 'Dean Thomas', 'Cuthbert Binns']
[1.0, 'Dean Thomas', 'Fenrir Greyback']
[1.0, 'Dean Thomas', 'Madam Hooch']
[1.0, 'Dean Thomas', 'Romilda Vane']
[1.0, 'Dean Thomas', 'Vernon Dursley Mr']
[1.0, 'Dean Thomas', 'Viktor Krum']
[1.0, 'Dean Thomas', 'Vincent Crabbe']
[1.0, 'Dean Thomas', 'Wilky Twycross']
[1.0, 'Dedalus Diggle', 'Alastor Mad-Eye Moody']
[1.0, 'Dedalus Diggle', 'Emmeline Vance']
[1.0, 'Dedalus Diggle', 'Frank Longbottom Mr']
[1.0, 'Dedalus Diggle', 'Nymphadora Tonks']
[1.0, 'Dedalus Diggle', 'Petunia Dursley Mrs']
[1.0, 'Dedalus Diggle', 'Pius Thicknesse']
[1.0, 'Demelza Robins', 'Albus Dumbledore']
[1.0, 'Demelza Robins', 'Hermione Granger']
[1.0, 'Demelza Robins', 'Horace Slughorn']
[1.0, 'Demelza Robins', 'Luna Lovegood']
[1.0, 'Dennis Creevey', 'Neville Longbottom']
[1.0, 'Dennis Creevey', 'Ron Weasley']
[1.0, 'Dennis Creevey', 'Tom Marvolo Riddle']
[1.0, 'Dirk Cresswell', 'Bathilda Bagshot']
[1.0, 'Dirk Cresswell', 'Dawlish']
[1.0, 'Dirk Cresswell', 'Luna Lovegood']
[1.0, 'Dobby', 'Amos Diggory Mr']
[1.0, 'Dobby', 'Argus Filch']
[1.0, 'Dobby', 'Igor Karkaroff']
[1.0, 'Dobby', 'Madam Hooch']
[1.0, 'Dobby', 'Peeves']
[1.0, 'Dolores Jane Umbridge', 'Alastor Mad-Eye Moody']
[1.0, 'Dolores Jane Umbridge', 'Amycus Carrow']
[1.0, 'Dolores Jane Umbridge', 'Cedric Diggory']
[1.0, 'Dolores Jane Umbridge', 'Dawlish']
[1.0, 'Dolores Jane Umbridge', 'Gilderoy Lockhart']
[1.0, 'Dolores Jane Umbridge', 'Hedwig']
[1.0, 'Dolores Jane Umbridge', 'Quirinus Quirrell']
[1.0, 'Dolores Jane Umbridge', 'Seamus Finnigan']
[1.0, 'Dolores Jane Umbridge', 'Terry Boot']
[1.0, 'Dolores Jane Umbridge', 'Zacharias Smith']
[1.0, 'Draco Malfoy', 'Amycus Carrow']
[1.0, 'Draco Malfoy', 'Bill Weasley']
[1.0, 'Draco Malfoy', 'Crookshanks']
[1.0, 'Draco Malfoy', 'Dean Thomas']
[1.0, 'Draco Malfoy', 'Fat Lady']
[1.0, 'Draco Malfoy', 'Igor Karkaroff']
[1.0, 'Draco Malfoy', 'Morfin Gaunt']
[1.0, 'Draco Malfoy', 'Nagini']
[1.0, 'Draco Malfoy', 'Pigwidgeon Pig ']
[1.0, 'Draco Malfoy', 'Scabior']
[1.0, 'Draco Malfoy', 'Sturgis Podmore']
[1.0, 'Draco Malfoy', 'Zacharias Smith']
[1.0, 'Dudley Dursley', 'Amos Diggory Mr']
[1.0, 'Dudley Dursley', 'Justin Finch-Fletchley']
[1.0, 'Dudley Dursley', 'Moaning Myrtle']
[1.0, 'Dudley Dursley', 'Ted Tonks']
[1.0, 'Dudley Dursley', 'Vincent Crabbe']
[1.0, 'Dumbledore Aberforth', 'Augustus Rookwood']
[1.0, 'Dumbledore Aberforth', 'Fred Weasley']
[1.0, 'Dumbledore Aberforth', 'George Weasley']
[1.0, 'Dumbledore Aberforth', 'Ginny Weasley']
[1.0, 'Dumbledore Aberforth', 'Muriel']
[1.0, 'Dumbledore Aberforth', 'Remus Lupin R']
[1.0, 'Dumbledore Aberforth', 'Rubeus Hagrid']
[1.0, 'Dumbledore Aberforth', 'Severus Snape']
[1.0, 'Elphias Doge', 'Dedalus Diggle']
[1.0, 'Elphias Doge', 'Pius Thicknesse']
[1.0, 'Elphias Doge', 'Ron Weasley']
[1.0, 'Emmeline Vance', 'Albus Dumbledore']
[1.0, 'Emmeline Vance', 'Remus Lupin R']
[1.0, 'Emmeline Vance', 'Sirius Black']
[1.0, 'Ernie Macmillan', 'Amos Diggory Mr']
[1.0, 'Ernie Macmillan', 'Anthony Goldstein']
[1.0, 'Ernie Macmillan', 'Cho Chang']
[1.0, 'Ernie Macmillan', 'Dean Thomas']
[1.0, 'Ernie Macmillan', 'Lavender Brown']
[1.0, 'Ernie Macmillan', 'Madam Malkin']
[1.0, 'Errol', 'Neville Longbottom']
[1.0, 'Errol', 'Percy Weasley']
[1.0, 'Errol', 'Scabbers']
[1.0, 'Fang', 'Argus Filch']
[1.0, 'Fang', 'Buckbeak']
[1.0, 'Fang', 'Crouch Mr Sr']
[1.0, 'Fang', 'Severus Snape']
[1.0, 'Fat Friar', 'Bloody Baron']
[1.0, 'Fat Friar', 'Susan Bones']
[1.0, 'Fat Lady', 'Crookshanks']
[1.0, 'Fat Lady', 'Ginny Weasley']
[1.0, 'Fat Lady', 'Katie Bell']
[1.0, 'Fat Lady', 'Luna Lovegood']
[1.0, 'Fat Lady', 'Mary Cattermole']
[1.0, 'Fat Lady', 'Minerva McGonagall']
[1.0, 'Fat Lady', 'Moaning Myrtle']
[1.0, 'Fat Lady', 'Nearly Headless Nick']
[1.0, 'Fat Lady', 'Peter Pettigrew']
[1.0, 'Fat Lady', 'Rubeus Hagrid']
[1.0, 'Fawkes', 'Gilderoy Lockhart']
[1.0, 'Fawkes', 'Ginny Weasley']
[1.0, 'Fawkes', 'Kingsley Shacklebolt']
[1.0, 'Fawkes', 'Sirius Black']
[1.0, 'Fenrir Greyback', 'Arthur Weasley Mr']
[1.0, 'Fenrir Greyback', 'Dumbledore Aberforth']
[1.0, 'Fenrir Greyback', 'Lavender Brown']
[1.0, 'Fenrir Greyback', 'Madam Hooch']
[1.0, 'Filius Flitwick', 'Argus Filch']
[1.0, 'Filius Flitwick', 'Aurora Sinistra']
[1.0, 'Filius Flitwick', 'Buckbeak']
[1.0, 'Filius Flitwick', 'George Weasley']
[1.0, 'Filius Flitwick', 'Lily Potter Mrs']
[1.0, 'Filius Flitwick', 'Ludo Bagman']
[1.0, 'Filius Flitwick', 'Luna Lovegood']
[1.0, 'Filius Flitwick', 'Pansy Parkinson']
[1.0, 'Filius Flitwick', 'Walden Macnair']
[1.0, 'Firenze', 'Argus Filch']
[1.0, 'Firenze', 'Grawp']
[1.0, 'Firenze', 'Lavender Brown']
[1.0, 'Firenze', 'Lord Voldemort']
[1.0, 'Firenze', 'Luna Lovegood']
[1.0, 'Fleur Delacour', 'Andromeda Tonks']
[1.0, 'Fleur Delacour', 'Dean Thomas']
[1.0, 'Fleur Delacour', 'Dobby']
[1.0, 'Fleur Delacour', 'Draco Malfoy']
[1.0, 'Fleur Delacour', 'Madam Hooch']
[1.0, 'Fleur Delacour', 'Petunia Dursley Mrs']
[1.0, 'Fleur Delacour', 'Rita Skeeter']
[1.0, 'Florean Fortescue', 'Arthur Weasley Mr']
[1.0, 'Florean Fortescue', 'Garrick Ollivander']
[1.0, 'Florean Fortescue', 'Phineas Nigellus Black']
[1.0, 'Fluffy', 'Albus Dumbledore']
[1.0, 'Fluffy', 'Argus Filch']
[1.0, 'Fluffy', 'Filius Flitwick']
[1.0, 'Fluffy', 'Hedwig']
[1.0, 'Fluffy', 'Minerva McGonagall']
[1.0, 'Fluffy', 'Pomona Sprout']
[1.0, 'Frank Bryce', 'Lord Voldemort']
[1.0, 'Frank Longbottom Mr', 'Alastor Mad-Eye Moody']
[1.0, 'Frank Longbottom Mr', 'Neville Longbottom']
[1.0, 'Fred Weasley', 'Bertha Jorkins']
[1.0, 'Fred Weasley', 'Mrs Norris']
[1.0, 'Fred Weasley', 'Rufus Scrimgeour']
[1.0, 'Fred Weasley', 'Seamus Finnigan']
[1.0, 'Fred Weasley', 'Vincent Crabbe']
[1.0, 'Gabrielle Delacour', 'Hermione Granger']
[1.0, 'Gabrielle Delacour', 'Madam Hooch']
[1.0, 'Garrick Ollivander', 'Draco Malfoy']
[1.0, 'Garrick Ollivander', 'Molly Weasley Mrs']
[1.0, 'Garrick Ollivander', 'Peter Pettigrew']
[1.0, 'Garrick Ollivander', 'Sirius Black']
[1.0, 'Garrick Ollivander', 'Trevor']
[1.0, 'Gellert Grindelwald', 'Cornelius Fudge']
[1.0, 'Gellert Grindelwald', 'Lord Voldemort']
[1.0, 'George Weasley', 'Crookshanks']
[1.0, 'George Weasley', 'Dean Thomas']
[1.0, 'George Weasley', 'Dennis Creevey']
[1.0, 'George Weasley', 'Gregory Goyle']
[1.0, 'George Weasley', 'Kingsley Shacklebolt']
[1.0, 'George Weasley', 'Michael Corner']
[1.0, 'George Weasley', 'Olympe Maxime']
[1.0, 'George Weasley', 'Roger Davies']
[1.0, 'George Weasley', 'Tom Marvolo Riddle']
[1.0, 'George Weasley', 'Vernon Dursley Mr']
[1.0, 'George Weasley', 'Vincent Crabbe']
[1.0, 'Gilderoy Lockhart', 'Bob Ogden']
[1.0, 'Gilderoy Lockhart', 'Ernie Macmillan']
[1.0, 'Gilderoy Lockhart', 'Filius Flitwick']
[1.0, 'Gilderoy Lockhart', 'Lavender Brown']
[1.0, 'Gilderoy Lockhart', 'Lucius Malfoy Mr']
[1.0, 'Gilderoy Lockhart', 'Madam Hooch']
[1.0, 'Gilderoy Lockhart', 'Tom Marvolo Riddle']
[1.0, 'Ginny Weasley', 'Amycus Carrow']
[1.0, 'Ginny Weasley', 'Fenrir Greyback']
[1.0, 'Ginny Weasley', 'Grawp']
[1.0, 'Ginny Weasley', 'Griphook']
[1.0, 'Ginny Weasley', 'Kingsley Shacklebolt']
[1.0, 'Ginny Weasley', 'Lily Potter Mrs']
[1.0, 'Goyle Sr Mr', 'Alecto Carrow']
[1.0, 'Goyle Sr Mr', 'Astoria Greengrass']
[1.0, 'Goyle Sr Mr', 'Buckbeak']
[1.0, 'Goyle Sr Mr', 'Cornelius Fudge']
[1.0, 'Goyle Sr Mr', 'Dean Thomas']
[1.0, 'Goyle Sr Mr', 'Ernie Macmillan']
